D,d_apad,shield,freq
0.25,0.6,1.15,58.4
0.25,0.6,1.15,58.41
0.25,0.6,1.15,58.42
0.25,0.6,1.15,58.43
0.25,0.6,1.15,58.44
0.25,0.6,1.15,58.45
0.25,0.6,1.15,58.46
0.25,0.6,1.15,58.47
0.25,0.6,1.15,58.48
0.25,0.6,1.15,58.49
0.25,0.6,1.15,58.5
0.25,0.6,1.15,58.51
0.25,0.6,1.15,58.52
0.25,0.6,1.15,58.53
0.25,0.6,1.15,58.54
0.25,0.6,1.15,58.55
0.25,0.6,1.15,58.56
0.25,0.6,1.15,58.57
0.25,0.6,1.15,58.58
0.25,0.6,1.15,58.59
0.25,0.6,1.15,58.6
0.25,0.6,1.15,58.61
0.25,0.6,1.15,58.62
0.25,0.6,1.15,58.63
0.25,0.6,1.15,58.64
0.25,0.6,1.15,58.65
0.25,0.6,1.15,58.66
0.25,0.6,1.15,58.67
0.25,0.6,1.15,58.68
0.25,0.6,1.15,58.69
0.25,0.6,1.15,58.7
0.25,0.6,1.15,58.71
0.25,0.6,1.15,58.72
0.25,0.6,1.15,58.73
0.25,0.6,1.15,58.74
0.25,0.6,1.15,58.75
0.25,0.6,1.15,58.76
0.25,0.6,1.15,58.77
0.25,0.6,1.15,58.78
0.25,0.6,1.15,58.79
0.25,0.6,1.15,58.8
0.25,0.6,1.15,58.81
0.25,0.6,1.15,58.82
0.25,0.6,1.15,58.83
0.25,0.6,1.15,58.84
0.25,0.6,1.15,58.85
0.25,0.6,1.15,58.86
0.25,0.6,1.15,58.87
0.25,0.6,1.15,58.88
0.25,0.6,1.15,58.89
0.25,0.6,1.15,58.9
0.25,0.6,1.15,58.91
0.25,0.6,1.15,58.92
0.25,0.6,1.15,58.93
0.25,0.6,1.15,58.94
0.25,0.6,1.15,58.95
0.25,0.6,1.15,58.96
0.25,0.6,1.15,58.97
0.25,0.6,1.15,58.98
0.25,0.6,1.15,58.99
0.25,0.6,1.15,59
0.25,0.6,1.15,59.01
0.25,0.6,1.15,59.02
0.25,0.6,1.15,59.03
0.25,0.6,1.15,59.04
0.25,0.6,1.15,59.05
0.25,0.6,1.15,59.06
0.25,0.6,1.15,59.07
0.25,0.6,1.15,59.08
0.25,0.6,1.15,59.09
0.25,0.6,1.15,59.1
0.25,0.6,1.15,59.11
0.25,0.6,1.15,59.12
0.25,0.6,1.15,59.13
0.25,0.6,1.15,59.14
0.25,0.6,1.15,59.15
0.25,0.6,1.15,59.16
0.25,0.6,1.15,59.17
0.25,0.6,1.15,59.18
0.25,0.6,1.15,59.19
0.25,0.6,1.15,59.2
0.25,0.6,1.15,59.21
0.25,0.6,1.15,59.22
0.25,0.6,1.15,59.23
0.25,0.6,1.15,59.24
0.25,0.6,1.15,59.25
0.25,0.6,1.15,59.26
0.25,0.6,1.15,59.27
0.25,0.6,1.15,59.28
0.25,0.6,1.15,59.29
0.25,0.6,1.15,59.3
0.25,0.6,1.15,59.31
0.25,0.6,1.15,59.32
0.25,0.6,1.15,59.33
0.25,0.6,1.15,59.34
0.25,0.6,1.15,59.35
0.25,0.6,1.15,59.36
0.25,0.6,1.15,59.37
0.25,0.6,1.15,59.38
0.25,0.6,1.15,59.39
0.25,0.6,1.15,59.4
0.25,0.6,1.15,59.41
0.25,0.6,1.15,59.42
0.25,0.6,1.15,59.43
0.25,0.6,1.15,59.44
0.25,0.6,1.15,59.45
0.25,0.6,1.15,59.46
0.25,0.6,1.15,59.47
0.25,0.6,1.15,59.48
0.25,0.6,1.15,59.49
0.25,0.6,1.15,59.5
0.25,0.6,1.15,59.51
0.25,0.6,1.15,59.52
0.25,0.6,1.15,59.53
0.25,0.6,1.15,59.54
0.25,0.6,1.15,59.55
0.25,0.6,1.15,59.56
0.25,0.6,1.15,59.57
0.25,0.6,1.15,59.58
0.25,0.6,1.15,59.59
0.25,0.6,1.15,59.6
0.25,0.6,1.15,59.61
0.25,0.6,1.15,59.62
0.25,0.6,1.15,59.63
0.25,0.6,1.15,59.64
0.25,0.6,1.15,59.65
0.25,0.6,1.15,59.66
0.25,0.6,1.15,59.67
0.25,0.6,1.15,59.68
0.25,0.6,1.15,59.69
0.25,0.6,1.15,59.7
0.25,0.6,1.15,59.71
0.25,0.6,1.15,59.72
0.25,0.6,1.15,59.73
0.25,0.6,1.15,59.74
0.25,0.6,1.15,59.75
0.25,0.6,1.15,59.76
0.25,0.6,1.15,59.77
0.25,0.6,1.15,59.78
0.25,0.6,1.15,59.79
0.25,0.6,1.15,59.8
0.25,0.6,1.15,59.81
0.25,0.6,1.15,59.82
0.25,0.6,1.15,59.83
0.25,0.6,1.15,59.84
0.25,0.6,1.15,59.85
0.25,0.6,1.15,59.86
0.25,0.6,1.15,59.87
0.25,0.6,1.15,59.88
0.25,0.6,1.15,59.89
0.25,0.6,1.15,59.9
0.25,0.6,1.15,59.91
0.25,0.6,1.15,59.92
0.25,0.6,1.15,59.93
0.25,0.6,1.15,59.94
0.25,0.6,1.15,59.95
0.25,0.6,1.15,59.96
0.25,0.6,1.15,59.97
0.25,0.6,1.15,59.98
0.25,0.6,1.15,59.99
0.25,0.6,1.15,60
0.25,0.6,1.15,60.01
0.25,0.6,1.15,60.02
0.25,0.6,1.15,60.03
0.25,0.6,1.15,60.04
0.25,0.6,1.15,60.05
0.25,0.6,1.15,60.06
0.25,0.6,1.15,60.07
0.25,0.6,1.15,60.08
0.25,0.6,1.15,60.09
0.25,0.6,1.15,60.1
0.25,0.6,1.15,60.11
0.25,0.6,1.15,60.12
0.25,0.6,1.15,60.13
0.25,0.6,1.15,60.14
0.25,0.6,1.15,60.15
0.25,0.6,1.15,60.16
0.25,0.6,1.15,60.17
0.25,0.6,1.15,60.18
0.25,0.6,1.15,60.19
0.25,0.6,1.15,60.2
0.25,0.6,1.15,60.21
0.25,0.6,1.15,60.22
0.25,0.6,1.15,60.23
0.25,0.6,1.15,60.24
0.25,0.6,1.15,60.25
0.25,0.6,1.15,60.26
0.25,0.6,1.15,60.27
0.25,0.6,1.15,60.28
0.25,0.6,1.15,60.29
0.25,0.6,1.15,60.3
0.25,0.6,1.15,60.31
0.25,0.6,1.15,60.32
0.25,0.6,1.15,60.33
0.25,0.6,1.15,60.34
0.25,0.6,1.15,60.35
0.25,0.6,1.15,60.36
0.25,0.6,1.15,60.37
0.25,0.6,1.15,60.38
0.25,0.6,1.15,60.39
0.25,0.6,1.15,60.4
0.25,0.6,1.15,60.41
0.25,0.6,1.15,60.42
0.25,0.6,1.15,60.43
0.25,0.6,1.15,60.44
0.25,0.6,1.15,60.45
0.25,0.6,1.15,60.46
0.25,0.6,1.15,60.47
0.25,0.6,1.15,60.48
0.25,0.6,1.15,60.49
0.25,0.6,1.15,60.5
0.25,0.6,1.15,60.51
0.25,0.6,1.15,60.52
0.25,0.6,1.15,60.53
0.25,0.6,1.15,60.54
0.25,0.6,1.15,60.55
0.25,0.6,1.15,60.56
0.25,0.6,1.15,60.57
0.25,0.6,1.15,60.58
0.25,0.6,1.15,60.59
0.25,0.6,1.15,60.6
0.25,0.6,1.15,60.61
0.25,0.6,1.15,60.62
0.25,0.6,1.15,60.63
0.25,0.6,1.15,60.64
0.25,0.6,1.15,60.65
0.25,0.6,1.15,60.66
0.25,0.6,1.15,60.67
0.25,0.6,1.15,60.68
0.25,0.6,1.15,60.69
0.25,0.6,1.15,60.7
0.25,0.6,1.15,60.71
0.25,0.6,1.15,60.72
0.25,0.6,1.15,60.73
0.25,0.6,1.15,60.74
0.25,0.6,1.15,60.75
0.25,0.6,1.15,60.76
0.25,0.6,1.15,60.77
0.25,0.6,1.15,60.78
0.25,0.6,1.15,60.79
0.25,0.6,1.15,60.8
0.25,0.6,1.15,60.81
0.25,0.6,1.15,60.82
0.25,0.6,1.15,60.83
0.25,0.6,1.15,60.84
0.25,0.6,1.15,60.85
0.25,0.6,1.15,60.86
0.25,0.6,1.15,60.87
0.25,0.6,1.15,60.88
0.25,0.6,1.15,60.89
0.25,0.6,1.15,60.9
0.25,0.6,1.15,60.91
0.25,0.6,1.15,60.92
0.25,0.6,1.15,60.93
0.25,0.6,1.15,60.94
0.25,0.6,1.15,60.95
0.25,0.6,1.15,60.96
0.25,0.6,1.15,60.97
0.25,0.6,1.15,60.98
0.25,0.6,1.15,60.99
0.25,0.6,1.15,61
0.25,0.6,1.15,61.01
0.25,0.6,1.15,61.02
0.25,0.6,1.15,61.03
0.25,0.6,1.15,61.04
0.25,0.6,1.15,61.05
0.25,0.6,1.15,61.06
0.25,0.6,1.15,61.07
0.25,0.6,1.15,61.08
0.25,0.6,1.15,61.09
0.25,0.6,1.15,61.1
0.25,0.6,1.15,61.11
0.25,0.6,1.15,61.12
0.25,0.6,1.15,61.13
0.25,0.6,1.15,61.14
0.25,0.6,1.15,61.15
0.25,0.6,1.15,61.16
0.25,0.6,1.15,61.17
0.25,0.6,1.15,61.18
0.25,0.6,1.15,61.19
0.25,0.6,1.15,61.2
0.25,0.6,1.15,61.21
0.25,0.6,1.15,61.22
0.25,0.6,1.15,61.23
0.25,0.6,1.15,61.24
0.25,0.6,1.15,61.25
0.25,0.6,1.15,61.26
0.25,0.6,1.15,61.27
0.25,0.6,1.15,61.28
0.25,0.6,1.15,61.29
0.25,0.6,1.15,61.3
0.25,0.6,1.15,61.31
0.25,0.6,1.15,61.32
0.25,0.6,1.15,61.33
0.25,0.6,1.15,61.34
0.25,0.6,1.15,61.35
0.25,0.6,1.15,61.36
0.25,0.6,1.15,61.37
0.25,0.6,1.15,61.38
0.25,0.6,1.15,61.39
0.25,0.6,1.15,61.4
0.25,0.6,1.15,61.41
0.25,0.6,1.15,61.42
0.25,0.6,1.15,61.43
0.25,0.6,1.15,61.44
0.25,0.6,1.15,61.45
0.25,0.6,1.15,61.46
0.25,0.6,1.15,61.47
0.25,0.6,1.15,61.48
0.25,0.6,1.15,61.49
0.25,0.6,1.15,61.5
0.25,0.6,1.15,61.51
0.25,0.6,1.15,61.52
0.25,0.6,1.15,61.53
0.25,0.6,1.15,61.54
0.25,0.6,1.15,61.55
0.25,0.6,1.15,61.56
0.25,0.6,1.15,61.57
0.25,0.6,1.15,61.58
0.25,0.6,1.15,61.59
0.25,0.6,1.15,61.6
0.25,0.6,1.15,61.61
0.25,0.6,1.15,61.62
0.25,0.6,1.15,61.63
0.25,0.6,1.15,61.64
0.25,0.6,1.15,61.65
0.25,0.6,1.15,61.66
0.25,0.6,1.15,61.67
0.25,0.6,1.15,61.68
0.25,0.6,1.15,61.69
0.25,0.6,1.15,61.7
0.25,0.6,1.15,61.71
0.25,0.6,1.15,61.72
0.25,0.6,1.15,61.73
0.25,0.6,1.15,61.74
0.25,0.6,1.15,61.75
0.25,0.6,1.15,61.76
0.25,0.6,1.15,61.77
0.25,0.6,1.15,61.78
0.25,0.6,1.15,61.79
0.25,0.6,1.15,61.8
0.25,0.6,1.15,61.81
0.25,0.6,1.15,61.82
0.25,0.6,1.15,61.83
0.25,0.6,1.15,61.84
0.25,0.6,1.15,61.85
0.25,0.6,1.15,61.86
0.25,0.6,1.15,61.87
0.25,0.6,1.15,61.88
0.25,0.6,1.15,61.89
0.25,0.6,1.15,61.9
0.25,0.6,1.15,61.91
0.25,0.6,1.15,61.92
0.25,0.6,1.15,61.93
0.25,0.6,1.15,61.94
0.25,0.6,1.15,61.95
0.25,0.6,1.15,61.96
0.25,0.6,1.15,61.97
0.25,0.6,1.15,61.98
0.25,0.6,1.15,61.99
0.25,0.6,1.15,62
0.25,0.6,1.15,62.01
0.25,0.6,1.15,62.02
0.25,0.6,1.15,62.03
0.25,0.6,1.15,62.04
0.25,0.6,1.15,62.05
0.25,0.6,1.15,62.06
0.25,0.6,1.15,62.07
0.25,0.6,1.15,62.08
0.25,0.6,1.15,62.09
0.25,0.6,1.15,62.1
0.25,0.6,1.15,62.11
0.25,0.6,1.15,62.12
0.25,0.6,1.15,62.13
0.25,0.6,1.15,62.14
0.25,0.6,1.15,62.15
0.25,0.6,1.15,62.16
0.25,0.6,1.15,62.17
0.25,0.6,1.15,62.18
0.25,0.6,1.15,62.19
0.25,0.6,1.15,62.2
0.25,0.6,1.15,62.21
0.25,0.6,1.15,62.22
0.25,0.6,1.15,62.23
0.25,0.6,1.15,62.24
0.25,0.6,1.15,62.25
0.25,0.6,1.15,62.26
0.25,0.6,1.15,62.27
0.25,0.6,1.15,62.28
0.25,0.6,1.15,62.29
0.25,0.6,1.15,62.3
0.25,0.6,1.15,62.31
0.25,0.6,1.15,62.32
0.25,0.6,1.15,62.33
0.25,0.6,1.15,62.34
0.25,0.6,1.15,62.35
0.25,0.6,1.15,62.36
0.25,0.6,1.15,62.37
0.25,0.6,1.15,62.38
0.25,0.6,1.15,62.39
0.25,0.6,1.15,62.4
0.25,0.6,1.15,62.41
0.25,0.6,1.15,62.42
0.25,0.6,1.15,62.43
0.25,0.6,1.15,62.44
0.25,0.6,1.15,62.45
0.25,0.6,1.15,62.46
0.25,0.6,1.15,62.47
0.25,0.6,1.15,62.48
0.25,0.6,1.15,62.49
0.25,0.6,1.15,62.5
0.25,0.6,1.15,62.51
0.25,0.6,1.15,62.52
0.25,0.6,1.15,62.53
0.25,0.6,1.15,62.54
0.25,0.6,1.15,62.55
0.25,0.6,1.15,62.56
0.25,0.6,1.15,62.57
0.25,0.6,1.15,62.58
0.25,0.6,1.15,62.59
0.25,0.6,1.15,62.6
0.25,0.6,1.15,62.61
0.25,0.6,1.15,62.62
0.25,0.6,1.15,62.63
0.25,0.6,1.15,62.64
0.25,0.6,1.15,62.65
0.25,0.6,1.15,62.66
0.25,0.6,1.15,62.67
0.25,0.6,1.15,62.68
0.25,0.6,1.15,62.69
0.25,0.6,1.15,62.7
0.25,0.6,1.15,62.71
0.25,0.6,1.15,62.72
0.25,0.6,1.15,62.73
0.25,0.6,1.15,62.74
0.25,0.6,1.15,62.75
0.25,0.6,1.15,62.76
0.25,0.6,1.15,62.77
0.25,0.6,1.15,62.78
0.25,0.6,1.15,62.79
0.25,0.6,1.15,62.8
0.25,0.6,1.15,62.81
0.25,0.6,1.15,62.82
0.25,0.6,1.15,62.83
0.25,0.6,1.15,62.84
0.25,0.6,1.15,62.85
0.25,0.6,1.15,62.86
0.25,0.6,1.15,62.87
0.25,0.6,1.15,62.88
0.25,0.6,1.15,62.89
0.25,0.6,1.15,62.9
0.25,0.6,1.15,62.91
0.25,0.6,1.15,62.92
0.25,0.6,1.15,62.93
0.25,0.6,1.15,62.94
0.25,0.6,1.15,62.95
0.25,0.6,1.15,62.96
0.25,0.6,1.15,62.97
0.25,0.6,1.15,62.98
0.25,0.6,1.15,62.99
0.25,0.6,1.15,63
0.25,0.6,1.2,57
0.25,0.6,1.2,57.01
0.25,0.6,1.2,57.02
0.25,0.6,1.2,57.03
0.25,0.6,1.2,57.04
0.25,0.6,1.2,57.05
0.25,0.6,1.2,57.06
0.25,0.6,1.2,57.07
0.25,0.6,1.2,57.08
0.25,0.6,1.2,57.09
0.25,0.6,1.2,57.1
0.25,0.6,1.2,57.11
0.25,0.6,1.2,57.12
0.25,0.6,1.2,57.13
0.25,0.6,1.2,57.14
0.25,0.6,1.2,57.15
0.25,0.6,1.2,57.16
0.25,0.6,1.2,57.17
0.25,0.6,1.2,57.18
0.25,0.6,1.2,57.19
0.25,0.6,1.2,57.2
0.25,0.6,1.2,57.21
0.25,0.6,1.2,57.22
0.25,0.6,1.2,57.23
0.25,0.6,1.2,57.24
0.25,0.6,1.2,57.25
0.25,0.6,1.2,57.26
0.25,0.6,1.2,57.27
0.25,0.6,1.2,57.28
0.25,0.6,1.2,57.29
0.25,0.6,1.2,57.3
0.25,0.6,1.2,57.31
0.25,0.6,1.2,57.32
0.25,0.6,1.2,57.33
0.25,0.6,1.2,57.34
0.25,0.6,1.2,57.35
0.25,0.6,1.2,57.36
0.25,0.6,1.2,57.37
0.25,0.6,1.2,57.38
0.25,0.6,1.2,57.39
0.25,0.6,1.2,57.4
0.25,0.6,1.2,57.41
0.25,0.6,1.2,57.42
0.25,0.6,1.2,57.43
0.25,0.6,1.2,57.44
0.25,0.6,1.2,57.45
0.25,0.6,1.2,57.46
0.25,0.6,1.2,57.47
0.25,0.6,1.2,57.48
0.25,0.6,1.2,57.49
0.25,0.6,1.2,57.5
0.25,0.6,1.2,57.51
0.25,0.6,1.2,57.52
0.25,0.6,1.2,57.53
0.25,0.6,1.2,57.54
0.25,0.6,1.2,57.55
0.25,0.6,1.2,57.56
0.25,0.6,1.2,57.57
0.25,0.6,1.2,57.58
0.25,0.6,1.2,57.59
0.25,0.6,1.2,57.6
0.25,0.6,1.2,57.61
0.25,0.6,1.2,57.62
0.25,0.6,1.2,57.63
0.25,0.6,1.2,57.64
0.25,0.6,1.2,57.65
0.25,0.6,1.2,57.66
0.25,0.6,1.2,57.67
0.25,0.6,1.2,57.68
0.25,0.6,1.2,57.69
0.25,0.6,1.2,57.7
0.25,0.6,1.2,57.71
0.25,0.6,1.2,57.72
0.25,0.6,1.2,57.73
0.25,0.6,1.2,57.74
0.25,0.6,1.2,57.75
0.25,0.6,1.2,57.76
0.25,0.6,1.2,57.77
0.25,0.6,1.2,57.78
0.25,0.6,1.2,57.79
0.25,0.6,1.2,57.8
0.25,0.6,1.2,57.81
0.25,0.6,1.2,57.82
0.25,0.6,1.2,57.83
0.25,0.6,1.2,57.84
0.25,0.6,1.2,57.85
0.25,0.6,1.2,57.86
0.25,0.6,1.2,57.87
0.25,0.6,1.2,57.88
0.25,0.6,1.2,57.89
0.25,0.6,1.2,57.9
0.25,0.6,1.2,57.91
0.25,0.6,1.2,57.92
0.25,0.6,1.2,57.93
0.25,0.6,1.2,57.94
0.25,0.6,1.2,57.95
0.25,0.6,1.2,57.96
0.25,0.6,1.2,57.97
0.25,0.6,1.2,57.98
0.25,0.6,1.2,57.99
0.25,0.6,1.2,58
0.25,0.6,1.2,58.01
0.25,0.6,1.2,58.02
0.25,0.6,1.2,58.03
0.25,0.6,1.2,58.04
0.25,0.6,1.2,58.05
0.25,0.6,1.2,58.06
0.25,0.6,1.2,58.07
0.25,0.6,1.2,58.08
0.25,0.6,1.2,58.09
0.25,0.6,1.2,58.1
0.25,0.6,1.2,58.11
0.25,0.6,1.2,58.12
0.25,0.6,1.2,58.13
0.25,0.6,1.2,58.14
0.25,0.6,1.2,58.15
0.25,0.6,1.2,58.16
0.25,0.6,1.2,58.17
0.25,0.6,1.2,58.18
0.25,0.6,1.2,58.19
0.25,0.6,1.2,58.2
0.25,0.6,1.2,58.21
0.25,0.6,1.2,58.22
0.25,0.6,1.2,58.23
0.25,0.6,1.2,58.24
0.25,0.6,1.2,58.25
0.25,0.6,1.2,58.26
0.25,0.6,1.2,58.27
0.25,0.6,1.2,58.28
0.25,0.6,1.2,58.29
0.25,0.6,1.2,58.3
0.25,0.6,1.2,58.31
0.25,0.6,1.2,58.32
0.25,0.6,1.2,58.33
0.25,0.6,1.2,58.34
0.25,0.6,1.2,58.35
0.25,0.6,1.2,58.36
0.25,0.6,1.2,58.37
0.25,0.6,1.2,58.38
0.25,0.6,1.2,58.39
0.25,0.6,1.2,58.4
0.25,0.6,1.2,58.41
0.25,0.6,1.2,58.42
0.25,0.6,1.2,58.43
0.25,0.6,1.2,58.44
0.25,0.6,1.2,58.45
0.25,0.6,1.2,58.46
0.25,0.6,1.2,58.47
0.25,0.6,1.2,58.48
0.25,0.6,1.2,58.49
0.25,0.6,1.2,58.5
0.25,0.6,1.2,58.51
0.25,0.6,1.2,58.52
0.25,0.6,1.2,58.53
0.25,0.6,1.2,58.54
0.25,0.6,1.2,58.55
0.25,0.6,1.2,58.56
0.25,0.6,1.2,58.57
0.25,0.6,1.2,58.58
0.25,0.6,1.2,58.59
0.25,0.6,1.2,58.6
0.25,0.6,1.2,58.61
0.25,0.6,1.2,58.62
0.25,0.6,1.2,58.63
0.25,0.6,1.2,58.64
0.25,0.6,1.2,58.65
0.25,0.6,1.2,58.66
0.25,0.6,1.2,58.67
0.25,0.6,1.2,58.68
0.25,0.6,1.2,58.69
0.25,0.6,1.2,58.7
0.25,0.6,1.2,58.71
0.25,0.6,1.2,58.72
0.25,0.6,1.2,58.73
0.25,0.6,1.2,58.74
0.25,0.6,1.2,58.75
0.25,0.6,1.2,58.76
0.25,0.6,1.2,58.77
0.25,0.6,1.2,58.78
0.25,0.6,1.2,58.79
0.25,0.6,1.2,58.8
0.25,0.6,1.2,58.81
0.25,0.6,1.2,58.82
0.25,0.6,1.2,58.83
0.25,0.6,1.2,58.84
0.25,0.6,1.2,58.85
0.25,0.6,1.2,58.86
0.25,0.6,1.2,58.87
0.25,0.6,1.2,58.88
0.25,0.6,1.2,58.89
0.25,0.6,1.2,58.9
0.25,0.6,1.2,58.91
0.25,0.6,1.2,58.92
0.25,0.6,1.2,58.93
0.25,0.6,1.2,58.94
0.25,0.6,1.2,58.95
0.25,0.6,1.2,58.96
0.25,0.6,1.2,58.97
0.25,0.6,1.2,58.98
0.25,0.6,1.2,58.99
0.25,0.6,1.2,59
0.25,0.6,1.2,59.01
0.25,0.6,1.2,59.02
0.25,0.6,1.2,59.03
0.25,0.6,1.2,59.04
0.25,0.6,1.2,59.05
0.25,0.6,1.2,59.06
0.25,0.6,1.2,59.07
0.25,0.6,1.2,59.08
0.25,0.6,1.2,59.09
0.25,0.6,1.2,59.1
0.25,0.6,1.2,59.11
0.25,0.6,1.2,59.12
0.25,0.6,1.2,59.13
0.25,0.6,1.2,59.14
0.25,0.6,1.2,59.15
0.25,0.6,1.2,59.16
0.25,0.6,1.2,59.17
0.25,0.6,1.2,59.18
0.25,0.6,1.2,59.19
0.25,0.6,1.2,59.2
0.25,0.6,1.2,59.21
0.25,0.6,1.2,59.22
0.25,0.6,1.2,59.23
0.25,0.6,1.2,59.24
0.25,0.6,1.2,59.25
0.25,0.6,1.2,59.26
0.25,0.6,1.2,59.27
0.25,0.6,1.2,59.28
0.25,0.6,1.2,59.29
0.25,0.6,1.2,59.3
0.25,0.6,1.2,59.31
0.25,0.6,1.2,59.32
0.25,0.6,1.2,59.33
0.25,0.6,1.2,59.34
0.25,0.6,1.2,59.35
0.25,0.6,1.2,59.36
0.25,0.6,1.2,59.37
0.25,0.6,1.2,59.38
0.25,0.6,1.2,59.39
0.25,0.6,1.2,59.4
0.25,0.6,1.2,59.41
0.25,0.6,1.2,59.42
0.25,0.6,1.2,59.43
0.25,0.6,1.2,59.44
0.25,0.6,1.2,59.45
0.25,0.6,1.2,59.46
0.25,0.6,1.2,59.47
0.25,0.6,1.2,59.48
0.25,0.6,1.2,59.49
0.25,0.6,1.2,59.5
0.25,0.6,1.2,59.51
0.25,0.6,1.2,59.52
0.25,0.6,1.2,59.53
0.25,0.6,1.2,59.54
0.25,0.6,1.2,59.55
0.25,0.6,1.2,59.56
0.25,0.6,1.2,59.57
0.25,0.6,1.2,59.58
0.25,0.6,1.2,59.59
0.25,0.6,1.2,59.6
0.25,0.6,1.2,59.61
0.25,0.6,1.2,59.62
0.25,0.6,1.2,59.63
0.25,0.6,1.2,59.64
0.25,0.6,1.2,59.65
0.25,0.6,1.2,59.66
0.25,0.6,1.2,59.67
0.25,0.6,1.2,59.68
0.25,0.6,1.2,59.69
0.25,0.6,1.2,59.7
0.25,0.6,1.2,59.71
0.25,0.6,1.2,59.72
0.25,0.6,1.2,59.73
0.25,0.6,1.2,59.74
0.25,0.6,1.2,59.75
0.25,0.6,1.2,59.76
0.25,0.6,1.2,59.77
0.25,0.6,1.2,59.78
0.25,0.6,1.2,59.79
0.25,0.6,1.2,59.8
0.25,0.6,1.2,59.81
0.25,0.6,1.2,59.82
0.25,0.6,1.2,59.83
0.25,0.6,1.2,59.84
0.25,0.6,1.2,59.85
0.25,0.6,1.2,59.86
0.25,0.6,1.2,59.87
0.25,0.6,1.2,59.88
0.25,0.6,1.2,59.89
0.25,0.6,1.2,59.9
0.25,0.6,1.2,59.91
0.25,0.6,1.2,59.92
0.25,0.6,1.2,59.93
0.25,0.6,1.2,59.94
0.25,0.6,1.2,59.95
0.25,0.6,1.2,59.96
0.25,0.6,1.2,59.97
0.25,0.6,1.2,59.98
0.25,0.6,1.2,59.99
0.25,0.6,1.2,60
0.25,0.6,1.2,60.01
0.25,0.6,1.2,60.02
0.25,0.6,1.2,60.03
0.25,0.6,1.2,60.04
0.25,0.6,1.2,60.05
0.25,0.6,1.2,60.06
0.25,0.6,1.2,60.07
0.25,0.6,1.2,60.08
0.25,0.6,1.2,60.09
0.25,0.6,1.2,60.1
0.25,0.6,1.2,60.11
0.25,0.6,1.2,60.12
0.25,0.6,1.2,60.13
0.25,0.6,1.2,60.14
0.25,0.6,1.2,60.15
0.25,0.6,1.2,60.16
0.25,0.6,1.2,60.17
0.25,0.6,1.2,60.18
0.25,0.6,1.2,60.19
0.25,0.6,1.2,60.2
0.25,0.6,1.2,60.21
0.25,0.6,1.2,60.22
0.25,0.6,1.2,60.23
0.25,0.6,1.2,60.24
0.25,0.6,1.2,60.25
0.25,0.6,1.2,60.26
0.25,0.6,1.2,60.27
0.25,0.6,1.2,60.28
0.25,0.6,1.2,60.29
0.25,0.6,1.2,60.3
0.25,0.6,1.2,60.31
0.25,0.6,1.2,60.32
0.25,0.6,1.2,60.33
0.25,0.6,1.2,60.34
0.25,0.6,1.2,60.35
0.25,0.6,1.2,60.36
0.25,0.6,1.2,60.37
0.25,0.6,1.2,60.38
0.25,0.6,1.2,60.39
0.25,0.6,1.2,60.4
0.25,0.6,1.2,60.41
0.25,0.6,1.2,60.42
0.25,0.6,1.2,60.43
0.25,0.6,1.2,60.44
0.25,0.6,1.2,60.45
0.25,0.6,1.2,60.46
0.25,0.6,1.2,60.47
0.25,0.6,1.2,60.48
0.25,0.6,1.2,60.49
0.25,0.6,1.2,60.5
0.25,0.6,1.2,60.51
0.25,0.6,1.2,60.52
0.25,0.6,1.2,60.53
0.25,0.6,1.2,60.54
0.25,0.6,1.2,60.55
0.25,0.6,1.2,60.56
0.25,0.6,1.2,60.57
0.25,0.6,1.2,60.58
0.25,0.6,1.2,60.59
0.25,0.6,1.2,60.6
0.25,0.6,1.2,60.61
0.25,0.6,1.2,60.62
0.25,0.6,1.2,60.63
0.25,0.6,1.2,60.64
0.25,0.6,1.2,60.65
0.25,0.6,1.2,60.66
0.25,0.6,1.2,60.67
0.25,0.6,1.2,60.68
0.25,0.6,1.2,60.69
0.25,0.6,1.2,60.7
0.25,0.6,1.2,60.71
0.25,0.6,1.2,60.72
0.25,0.6,1.2,60.73
0.25,0.6,1.2,60.74
0.25,0.6,1.2,60.75
0.25,0.6,1.2,60.76
0.25,0.6,1.2,60.77
0.25,0.6,1.2,60.78
0.25,0.6,1.2,60.79
0.25,0.6,1.2,60.8
0.25,0.6,1.2,60.81
0.25,0.6,1.2,60.82
0.25,0.6,1.2,60.83
0.25,0.6,1.2,60.84
0.25,0.6,1.2,60.85
0.25,0.6,1.2,60.86
0.25,0.6,1.2,60.87
0.25,0.6,1.2,60.88
0.25,0.6,1.2,60.89
0.25,0.6,1.2,60.9
0.25,0.6,1.2,60.91
0.25,0.6,1.2,60.92
0.25,0.6,1.2,60.93
0.25,0.6,1.2,60.94
0.25,0.6,1.2,60.95
0.25,0.6,1.2,60.96
0.25,0.6,1.2,60.97
0.25,0.6,1.2,60.98
0.25,0.6,1.2,60.99
0.25,0.6,1.2,61
0.25,0.6,1.2,61.01
0.25,0.6,1.2,61.02
0.25,0.6,1.2,61.03
0.25,0.6,1.2,61.04
0.25,0.6,1.2,61.05
0.25,0.6,1.2,61.06
0.25,0.6,1.2,61.07
0.25,0.6,1.2,61.08
0.25,0.6,1.2,61.09
0.25,0.6,1.2,61.1
0.25,0.6,1.2,61.11
0.25,0.6,1.2,61.12
0.25,0.6,1.2,61.13
